Results - Estimator for roll and pitch angles

Data format:
Timestamp [s]:  Roll [deg]   ,   Pitch [deg]
59.931 s:       -179.135     ,     -9.208
59.941 s:       -179.590     ,     -9.529
59.951 s:       -179.470     ,     -10.024
59.961 s:       -179.528     ,     -10.216
59.971 s:       -179.764     ,     -10.455
59.981 s:       -179.707     ,     -10.757
59.991 s:       -179.824     ,     -11.717
60.001 s:       -179.299     ,     -11.926
60.011 s:       -179.649     ,     -12.677
60.021 s:       -179.650     ,     -12.683
60.031 s:       -179.710     ,     -12.774
60.041 s:       -179.766     ,     -12.708
60.051 s:       -179.413     ,     -12.310
60.061 s:       -179.704     ,     -12.579
60.071 s:       179.940     ,     -12.165
60.081 s:       179.394     ,     -11.891
60.091 s:       180.000     ,     -12.421
60.101 s:       -179.763     ,     -13.659
60.111 s:       -179.882     ,     -13.842
60.121 s:       -179.356     ,     -14.653
60.131 s:       179.941     ,     -15.001
60.141 s:       180.000     ,     -15.466
60.151 s:       -179.295     ,     -15.804
60.161 s:       -179.351     ,     -15.648
60.171 s:       -179.764     ,     -15.414
60.181 s:       179.942     ,     -15.295
60.191 s:       179.822     ,     -15.119
60.201 s:       -179.941     ,     -15.075
60.211 s:       179.520     ,     -14.908
60.221 s:       180.000     ,     -14.664
60.231 s:       -179.646     ,     -15.375
60.241 s:       -179.585     ,     -15.890
60.251 s:       -179.110     ,     -15.959
60.261 s:       -179.164     ,     -15.390
60.271 s:       180.000     ,     -15.452
60.281 s:       -179.406     ,     -15.134
60.291 s:       -179.466     ,     -15.355
60.301 s:       180.000     ,     -15.255
60.311 s:       -179.644     ,     -14.857
60.321 s:       179.580     ,     -14.669
60.331 s:       179.700     ,     -14.684
60.341 s:       180.000     ,     -15.092
60.351 s:       -179.940     ,     -15.133
60.361 s:       -179.641     ,     -14.640
60.371 s:       -179.762     ,     -14.846
60.381 s:       180.000     ,     -15.083
60.391 s:       -179.464     ,     -15.138
60.401 s:       -179.516     ,     -14.689
60.411 s:       -179.584     ,     -14.594
60.421 s:       -179.879     ,     -15.642
